FECHA,TMAX,TMIN,NOMBRE
2031-12-19,14.4,4,PARANA AERO
2031-12-19,15.3,-2.8,PASO DE INDIOS
2031-12-19,12.6,6.2,PASO DE LOS LIBRES AERO
2031-12-19,16.2,0.5,PEHUAJO AERO
2031-12-19,9.1,-4.5,PERITO MORENO AERO
2031-12-19,15,0.7,PIGUE AERO
2031-12-19,17.1,-1.2,PILAR OBSERVATORIO
2031-12-19,16,10.1,POSADAS AERO
2031-12-19,16.8,5.8,PRESIDENCIA ROQUE SAENZ PEÑA AERO
2031-12-19,13,-1.2,PUERTO DESEADO AERO
2031-12-19,15.6,-0.6,PUERTO MADRYN AERO
2031-12-19,12.6,5,PUNTA INDIO B.A.
2031-12-19,15,1.5,RAFAELA AERO
2031-12-19,15,4.8,RECONQUISTA AERO
2031-12-19,14.3,6.3,RESISTENCIA AERO
2031-12-19,17.5,-1.8,RIO CUARTO AERO
2031-12-19,12.7,1.6,RIO GALLEGOS AERO
2031-12-19,11.4,4.8,RIO GRANDE B.A.
2031-12-19,19,12.3,RIVADAVIA
2031-12-19,14.7,2.2,ROSARIO AERO
2031-12-19,10.6,5.5,SALTA AERO
2031-12-19,19,-2.2,SAN ANTONIO OESTE AERO
2031-12-19,13.8,4.1,SAN FERNANDO AERO
2031-12-19,19.5,3,SAN JUAN AERO
2031-12-19,10.6,-0.6,SAN JULIAN AERO
2031-12-19,19.5,3.1,SAN LUIS AERO
2031-12-19,17.7,2.3,SAN MARTIN (MZA)
2031-12-19,16,0.7,SAN RAFAEL AERO
2031-12-19,10.8,-0.6,SANTA CRUZ AERO
2031-12-19,17.8,-1.1,SANTA ROSA AERO
2031-12-19,19,-5.4,SANTA ROSA DE CONLARA AERO
2031-12-19,20.2,10.8,SANTIAGO DEL ESTERO AERO
2031-12-19,15.3,4,SAUCE VIEJO AERO
2031-12-19,16,0.5,SUNCHALES AERO
2031-12-19,14.6,-1.5,TANDIL AERO
2031-12-19,17.5,10.3,TARTAGAL AERO
2031-12-19,17,10.5,TERMAS DE RIO HONDO AERO
2031-12-19,16.5,8.2,TINOGASTA
2031-12-19,20,-0.6,TRELEW AERO
2031-12-19,17.5,0,TRENQUE LAUQUEN
2031-12-19,14.8,-1.9,TRES ARROYOS
2031-12-19,16.5,9.6,TUCUMAN AERO
2031-12-19,9.5,4.7,USHUAIA AERO
2031-12-19,12.5,-4,USPALLATA
2031-12-19,15,0,VENADO TUERTO AERO
2031-12-19,18.4,-0.9,VICTORICA
2031-12-19,18.2,-1.7,VIEDMA AERO
2031-12-19,16.6,-0.9,VILLA DE MARIA DEL RIO SECO
2031-12-19,18.9,-1.5,VILLA DOLORES AERO
2031-12-19,12.4,0,VILLA GESELL AERO
2031-12-19,18.8,-8.2,VILLA REYNOLDS AERO
2031-12-09,14.3,7.5,AEROPARQUE AERO
2031-12-09,11.5,2.2,AZUL AERO
2031-12-09,12.2,4.4,BAHIA BLANCA AERO
2031-12-09,12.6,-3.6,BARILOCHE AERO
2031-12-09,-13.8,-16.7,BASE BELGRANO II
2031-12-09,-2,-7.7,BASE CARLINI (EX JUBANY)
2031-12-09,-4.8,-11.9,BASE ESPERANZA
2031-12-09,-13.6,-18.2,BASE MARAMBIO
2031-12-09,-1.9,-16,BASE ORCADAS
2031-12-09,-0.6,-21.2,BASE SAN MARTIN
2031-12-09,10.9,2.7,BENITO JUAREZ
2031-12-09,20.5,13.4,BERNARDO DE IRIGOYEN AERO
2031-12-09,11.3,3.8,BOLIVAR AERO
2031-12-09,12.2,7.1,BUENOS AIRES OBSERVATORIO
2031-12-09,11.9,5.5,CAMPO DE MAYO AERO
2031-12-09,17,11,CATAMARCA AERO
2031-12-09,19.6,11.4,CERES AERO
2031-12-09,20.4,11.5,CHAMICAL AERO
2031-12-09,12.9,-4.6,CHAPELCO AERO
2031-12-09,17.8,6.3,CHEPES
2031-12-09,14.5,9.4,CHILECITO AERO
2031-12-09,17.1,5.5,COMODORO RIVADAVIA AERO
2031-12-09,18,9.5,CONCORDIA AERO
2031-12-09,14.7,9.7,CORDOBA AERO
2031-12-09,16,10.2,CORDOBA OBSERVATORIO
2031-12-09,13.2,-0.8,CORONEL SUAREZ AERO
2031-12-09,20.1,12.6,CORRIENTES AERO
2031-12-09,12.2,2.9,DOLORES AERO
2031-12-09,10.1,0.8,EL BOLSON AERO
2031-12-09,10.7,-0.6,EL CALAFATE AERO
2031-12-09,12.1,6.5,EL PALOMAR AERO
2031-12-09,,6.1,ESCUELA DE AVIACION MILITAR AERO
2031-12-09,11.7,-3.5,ESQUEL AERO
2031-12-09,11.5,5,EZEIZA AERO
2031-12-09,20,12.4,FORMOSA AERO
2031-12-09,14.4,-2,GENERAL PICO AERO
2031-12-09,11,0,GOBERNADOR GREGORES AERO
2031-12-09,16.5,8.3,GUALEGUAYCHU AERO
2031-12-09,22.5,14.2,IGUAZU AERO
2031-12-09,18,12.8,ITUZAINGO
2031-12-09,10.6,4.1,JACHAL
2031-12-09,19,9.7,JUJUY AERO
2031-12-09,16.3,9.3,JUJUY U N
2031-12-09,13,5,JUNIN AERO
2031-12-09,12.1,5.3,LA PLATA AERO
2031-12-09,19.6,-5.2,LA QUIACA OBSERVATORIO
2031-12-09,18.5,10.3,LA RIOJA AERO
2031-12-09,13.8,3.2,LABOULAYE AERO
2031-12-09,10.5,4,LAS FLORES
2031-12-09,23.9,17.2,LAS LOMITAS
2031-12-09,8.8,1.6,MALARGUE AERO
2031-12-09,10.6,-4.2,MAQUINCHAO
2031-12-09,10,3.8,MAR DEL PLATA AERO
2031-12-09,16.5,6.3,MARCOS JUAREZ AERO
